"CubeId";"SNB1A@SNB.NSS.KZS.EID"
"PublishingDate";"2026-08-21 09:55"

"Date";"LAUFZEIT";"ZEITPUNKT";"frequency";"AGGREGATIONSMETHODE";"Value"
"1988-04-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-25";"J02M0";"A1100";"P1D_L";"ZZ";"3.318"
"1988-04-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-27";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-28";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-04-29";"J02M0";"A1100";"P1D_L";"ZZ";"3.25"
"1988-05-02";"J02M0";"A1100";"P1D_L";"ZZ";"3.014"
"1988-05-03";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-05";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-09";"J02M0";"A1100";"P1D_L";"ZZ";"3.374"
"1988-05-10";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-11";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-16";"J02M0";"A1100";"P1D_L";"ZZ";"3.339"
"1988-05-17";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-18";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-19";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-20";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-24";"J02M0";"A1100";"P1D_L";"ZZ";"3.339"
"1988-05-25";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-27";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-05-30";"J02M0";"A1100";"P1D_L";"ZZ";"3.458"
"1988-05-31";"J02M0";"A1100";"P1D_L";"ZZ";"3.602"
"1988-06-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-02";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-03";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-06";"J02M0";"A1100";"P1D_L";"ZZ";"3.507"
"1988-06-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-10";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-13";"J02M0";"A1100";"P1D_L";"ZZ";"3.568"
"1988-06-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-16";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-17";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-20";"J02M0";"A1100";"P1D_L";"ZZ";"3.501"
"1988-06-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-24";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-27";"J02M0";"A1100";"P1D_L";"ZZ";"3.559"
"1988-06-28";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-29";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-06-30";"J02M0";"A1100";"P1D_L";"ZZ";"3.707"
"1988-07-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-04";"J02M0";"A1100";"P1D_L";"ZZ";"3.772"
"1988-07-05";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-11";"J02M0";"A1100";"P1D_L";"ZZ";"3.92"
"1988-07-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-18";"J02M0";"A1100";"P1D_L";"ZZ";"4.085"
"1988-07-19";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-20";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-25";"J02M0";"A1100";"P1D_L";"ZZ";"4.042"
"1988-07-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-27";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-28";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-07-29";"J02M0";"A1100";"P1D_L";"ZZ";"4.195"
"1988-08-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-02";"J02M0";"A1100";"P1D_L";"ZZ";"4.083"
"1988-08-03";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-05";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-08";"J02M0";"A1100";"P1D_L";"ZZ";"4.048"
"1988-08-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-10";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-11";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-15";"J02M0";"A1100";"P1D_L";"ZZ";"4.004"
"1988-08-16";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-17";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-18";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-19";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-22";"J02M0";"A1100";"P1D_L";"ZZ";"4.048"
"1988-08-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-24";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-25";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-29";"J02M0";"A1100";"P1D_L";"ZZ";"3.828"
"1988-08-30";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-08-31";"J02M0";"A1100";"P1D_L";"ZZ";"3.959"
"1988-09-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-02";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-05";"J02M0";"A1100";"P1D_L";"ZZ";"3.973"
"1988-09-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-12";"J02M0";"A1100";"P1D_L";"ZZ";"3.872"
"1988-09-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-16";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-19";"J02M0";"A1100";"P1D_L";"ZZ";"3.873"
"1988-09-20";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-26";"J02M0";"A1100";"P1D_L";"ZZ";"3.803"
"1988-09-27";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-28";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-29";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-09-30";"J02M0";"A1100";"P1D_L";"ZZ";"3.798"
"1988-10-03";"J02M0";"A1100";"P1D_L";"ZZ";"4.073"
"1988-10-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-05";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-10";"J02M0";"A1100";"P1D_L";"ZZ";"4.101"
"1988-10-11";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-17";"J02M0";"A1100";"P1D_L";"ZZ";"4.226"
"1988-10-18";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-19";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-20";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-24";"J02M0";"A1100";"P1D_L";"ZZ";"4.236"
"1988-10-25";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-27";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-28";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-10-31";"J02M0";"A1100";"P1D_L";"ZZ";"4.157"
"1988-11-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-02";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-03";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-07";"J02M0";"A1100";"P1D_L";"ZZ";"3.935"
"1988-11-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-10";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-11";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-14";"J02M0";"A1100";"P1D_L";"ZZ";"3.876"
"1988-11-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-16";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-17";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-18";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-21";"J02M0";"A1100";"P1D_L";"ZZ";"4.035"
"1988-11-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-24";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-25";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-28";"J02M0";"A1100";"P1D_L";"ZZ";"4.29"
"1988-11-29";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-11-30";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-02";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-05";"J02M0";"A1100";"P1D_L";"ZZ";"4.279"
"1988-12-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-12";"J02M0";"A1100";"P1D_L";"ZZ";"4.334"
"1988-12-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-16";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-19";"J02M0";"A1100";"P1D_L";"ZZ";"4.235"
"1988-12-20";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-27";"J02M0";"A1100";"P1D_L";"ZZ";"4.147"
"1988-12-28";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-29";"J02M0";"A1100";"P1D_L";"ZZ";
"1988-12-30";"J02M0";"A1100";"P1D_L";"ZZ";"4.425"
"1989-01-02";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-03";"J02M0";"A1100";"P1D_L";"ZZ";"4.402"
"1989-01-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-05";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-09";"J02M0";"A1100";"P1D_L";"ZZ";"4.736"
"1989-01-10";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-11";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-16";"J02M0";"A1100";"P1D_L";"ZZ";"5.066"
"1989-01-17";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-18";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-19";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-20";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-23";"J02M0";"A1100";"P1D_L";"ZZ";"5.158"
"1989-01-24";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-25";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-27";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-01-30";"J02M0";"A1100";"P1D_L";"ZZ";"5.185"
"1989-01-31";"J02M0";"A1100";"P1D_L";"ZZ";"5.14"
"1989-02-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-02";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-03";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-06";"J02M0";"A1100";"P1D_L";"ZZ";"5.292"
"1989-02-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-10";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-13";"J02M0";"A1100";"P1D_L";"ZZ";"5.265"
"1989-02-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-16";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-17";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-20";"J02M0";"A1100";"P1D_L";"ZZ";"5.435"
"1989-02-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-24";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-02-27";"J02M0";"A1100";"P1D_L";"ZZ";"5.677"
"1989-02-28";"J02M0";"A1100";"P1D_L";"ZZ";"5.522"
"1989-03-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-02";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-03";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-06";"J02M0";"A1100";"P1D_L";"ZZ";"5.532"
"1989-03-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-10";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-13";"J02M0";"A1100";"P1D_L";"ZZ";"5.445"
"1989-03-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-16";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-17";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-20";"J02M0";"A1100";"P1D_L";"ZZ";"5.388"
"1989-03-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-24";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-27";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-28";"J02M0";"A1100";"P1D_L";"ZZ";"5.43"
"1989-03-29";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-30";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-03-31";"J02M0";"A1100";"P1D_L";"ZZ";"5.473"
"1989-04-03";"J02M0";"A1100";"P1D_L";"ZZ";"5.522"
"1989-04-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-05";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-10";"J02M0";"A1100";"P1D_L";"ZZ";"5.485"
"1989-04-11";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-17";"J02M0";"A1100";"P1D_L";"ZZ";"5.636"
"1989-04-18";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-19";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-20";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-24";"J02M0";"A1100";"P1D_L";"ZZ";"5.687"
"1989-04-25";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-27";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-04-28";"J02M0";"A1100";"P1D_L";"ZZ";"5.845"
"1989-05-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-02";"J02M0";"A1100";"P1D_L";"ZZ";"5.822"
"1989-05-03";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-05";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-08";"J02M0";"A1100";"P1D_L";"ZZ";"6.058"
"1989-05-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-10";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-11";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-16";"J02M0";"A1100";"P1D_L";"ZZ";"6.37"
"1989-05-17";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-18";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-19";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-22";"J02M0";"A1100";"P1D_L";"ZZ";"6.454"
"1989-05-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-24";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-25";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-26";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-29";"J02M0";"A1100";"P1D_L";"ZZ";"6.45"
"1989-05-30";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-05-31";"J02M0";"A1100";"P1D_L";"ZZ";"6.476"
"1989-06-01";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-02";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-05";"J02M0";"A1100";"P1D_L";"ZZ";"6.153"
"1989-06-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-08";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-09";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-12";"J02M0";"A1100";"P1D_L";"ZZ";"6.099"
"1989-06-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-15";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-16";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-19";"J02M0";"A1100";"P1D_L";"ZZ";"6.007"
"1989-06-20";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-21";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-22";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-23";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-26";"J02M0";"A1100";"P1D_L";"ZZ";"5.954"
"1989-06-27";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-28";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-29";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-06-30";"J02M0";"A1100";"P1D_L";"ZZ";"6.019"
"1989-07-03";"J02M0";"A1100";"P1D_L";"ZZ";"6.024"
"1989-07-04";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-07-05";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-07-06";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-07-07";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-07-10";"J02M0";"A1100";"P1D_L";"ZZ";"5.938"
"1989-07-11";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-07-12";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-07-13";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-07-14";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-07-17";"J02M0";"A1100";"P1D_L";"ZZ";"5.675"
"1989-07-18";"J02M0";"A1100";"P1D_L";"ZZ";
"1989-07-19";"J02M0";"A1100";"P1D_L";"ZZ";
